id|camp_id|staff_id|created|updated|assigned_role_id|confirmed_staff
10566|20681|21201|2020-05-08|2020-05-08|\N|t
10567|20681|21949|2020-05-08|2020-05-08|\N|t
10568|20681|21369|2020-05-08|2020-05-08|\N|t
10569|20681|21673|2020-05-08|2020-05-08|\N|t
10570|20681|20482|2020-05-08|2020-05-08|\N|t
10571|20681|21952|2020-05-08|2020-05-08|\N|t
10572|20681|21981|2020-05-08|2020-05-08|\N|t
10573|20681|21685|2020-05-08|2020-05-08|\N|t
10574|20681|22047|2020-05-08|2020-05-08|\N|t
10575|20681|20874|2020-05-08|2020-05-08|\N|t
10576|20681|21189|2020-05-08|2020-05-08|\N|t
10577|20681|21505|2020-05-08|2020-05-08|\N|t
10578|20681|22115|2020-05-08|2020-05-08|\N|t
10579|20681|22094|2020-05-08|2020-05-08|\N|t
10580|20681|22008|2020-05-08|2020-05-08|\N|t
10581|20681|21977|2020-05-08|2020-05-08|\N|t
10582|20681|20266|2020-05-08|2020-05-08|\N|t
10583|20681|20612|2020-05-08|2020-05-08|\N|t
10584|20681|22101|2020-05-08|2020-05-08|\N|t
10585|20681|22015|2020-05-08|2020-05-08|\N|t
10586|20681|22006|2020-05-08|2020-05-08|\N|t
10587|20681|20937|2020-05-08|2020-05-08|\N|t
10588|20681|21948|2020-05-08|2020-05-08|\N|f
10589|20681|21970|2020-05-08|2020-05-08|\N|f
10590|20681|22048|2020-05-08|2020-05-08|\N|f
10591|20681|22056|2020-05-08|2020-05-08|\N|f
10592|20681|21314|2020-05-08|2020-05-08|\N|f
10593|20681|21684|2020-05-08|2020-05-08|\N|f
10594|20681|21922|2020-05-08|2020-05-08|\N|f
10595|20681|22113|2020-05-08|2020-05-08|\N|f
10596|20681|21162|2020-05-08|2020-05-08|\N|f
10597|20681|21966|2020-05-08|2020-05-08|\N|f
10598|20681|21628|2020-05-08|2020-05-08|\N|f
10599|20681|21680|2020-05-08|2020-05-08|\N|f
10600|20681|21991|2020-05-08|2020-05-08|\N|f
10601|20681|21989|2020-05-08|2020-05-08|\N|f
10602|20681|284|2020-05-08|2020-05-08|\N|f
10603|20681|22110|2020-05-08|2020-05-08|\N|f
10604|20681|20445|2020-05-08|2020-05-08|\N|f
10605|20681|22099|2020-05-08|2020-05-08|\N|f
10606|20681|21614|2020-05-08|2020-05-08|\N|f
10607|20681|22012|2020-05-08|2020-05-08|\N|f
10608|20681|22057|2020-05-08|2020-05-08|\N|f
10609|20681|22004|2020-05-08|2020-05-08|\N|f
10610|20681|22002|2020-05-08|2020-05-08|\N|f
10611|20684|21949|2020-05-08|2020-05-08|\N|f
10612|20684|21230|2020-05-08|2020-05-08|\N|f
10613|20684|22109|2020-05-08|2020-05-08|\N|f
10614|20684|22056|2020-05-08|2020-05-08|\N|f
10615|20684|21978|2020-05-08|2020-05-08|\N|f
10616|20684|21221|2020-05-08|2020-05-08|\N|f
10617|20684|21986|2020-05-08|2020-05-08|\N|f
10618|20684|21922|2020-05-08|2020-05-08|\N|f
10619|20684|22030|2020-05-08|2020-05-08|\N|f
10620|20684|22074|2020-05-08|2020-05-08|\N|f
10621|20684|21162|2020-05-08|2020-05-08|\N|f
10622|20684|22107|2020-05-08|2020-05-08|\N|f
10623|20684|22100|2020-05-08|2020-05-08|\N|f
10624|20684|21705|2020-05-08|2020-05-08|\N|f
10625|20684|21628|2020-05-08|2020-05-08|\N|f
10626|20684|21189|2020-05-08|2020-05-08|\N|f
10627|20684|21505|2020-05-08|2020-05-08|\N|f
10628|20684|21538|2020-05-08|2020-05-08|\N|f
10629|20684|22094|2020-05-08|2020-05-08|\N|f
10630|20684|21218|2020-05-08|2020-05-08|\N|f
10631|20684|20481|2020-05-08|2020-05-08|\N|f
10632|20684|21960|2020-05-08|2020-05-08|\N|f
10633|20684|22005|2020-05-08|2020-05-08|\N|f
10634|20684|20307|2020-05-08|2020-05-08|\N|f
10635|20684|20266|2020-05-08|2020-05-08|\N|f
10636|20684|20612|2020-05-08|2020-05-08|\N|f
10637|20684|21614|2020-05-08|2020-05-08|\N|f
10638|20684|22012|2020-05-08|2020-05-08|\N|f
10639|20684|22011|2020-05-08|2020-05-08|\N|f
10640|20684|22101|2020-05-08|2020-05-08|\N|f
10641|20684|21712|2020-05-08|2020-05-08|\N|f
10642|20684|22026|2020-05-08|2020-05-08|\N|f
10643|20684|21194|2020-05-08|2020-05-08|\N|f
10644|20684|22015|2020-05-08|2020-05-08|\N|f
10645|20684|20435|2020-05-08|2020-05-08|\N|f
10646|20684|22004|2020-05-08|2020-05-08|\N|f
10647|20702|21949|2020-05-08|2020-05-08|\N|f
10648|20702|21970|2020-05-08|2020-05-08|\N|f
10649|20702|22056|2020-05-08|2020-05-08|\N|f
10650|20702|21678|2020-05-08|2020-05-08|\N|f
10651|20702|21685|2020-05-08|2020-05-08|\N|f
10652|20702|21922|2020-05-08|2020-05-08|\N|f
10653|20702|21966|2020-05-08|2020-05-08|\N|f
10654|20702|21705|2020-05-08|2020-05-08|\N|f
10655|20702|21505|2020-05-08|2020-05-08|\N|f
10656|20702|22094|2020-05-08|2020-05-08|\N|f
10657|20702|21704|2020-05-08|2020-05-08|\N|f
10658|20702|22005|2020-05-08|2020-05-08|\N|f
10659|20702|20307|2020-05-08|2020-05-08|\N|f
10660|20702|21614|2020-05-08|2020-05-08|\N|f
10661|20702|22012|2020-05-08|2020-05-08|\N|f
10662|20702|22101|2020-05-08|2020-05-08|\N|f
10663|20702|22026|2020-05-08|2020-05-08|\N|f
10664|20702|21194|2020-05-08|2020-05-08|\N|f
10665|20702|22015|2020-05-08|2020-05-08|\N|f
10666|20702|22112|2020-05-08|2020-05-08|\N|f
10667|20695|21201|2020-05-08|2020-05-08|\N|t
10668|20695|21947|2020-05-08|2020-05-08|\N|t
10669|20695|21981|2020-05-08|2020-05-08|\N|t
10670|20695|21321|2020-05-08|2020-05-08|\N|t
10671|20695|20586|2020-05-08|2020-05-08|\N|t
10672|20695|21639|2020-05-08|2020-05-08|\N|t
10673|20695|21194|2020-05-08|2020-05-08|\N|t
10674|20695|22002|2020-05-08|2020-05-08|\N|t
10675|20695|21949|2020-05-08|2020-05-08|\N|f
10676|20695|21968|2020-05-08|2020-05-08|\N|f
10677|20695|21673|2020-05-08|2020-05-08|\N|f
10678|20695|20684|2020-05-08|2020-05-08|\N|f
10679|20695|21970|2020-05-08|2020-05-08|\N|f
10680|20695|21922|2020-05-08|2020-05-08|\N|f
10681|20695|22047|2020-05-08|2020-05-08|\N|f
10682|20695|21966|2020-05-08|2020-05-08|\N|f
10683|20695|21189|2020-05-08|2020-05-08|\N|f
10684|20695|21680|2020-05-08|2020-05-08|\N|f
10685|20695|22116|2020-05-08|2020-05-08|\N|f
10686|20695|21505|2020-05-08|2020-05-08|\N|f
10687|20695|21989|2020-05-08|2020-05-08|\N|f
10688|20695|22094|2020-05-08|2020-05-08|\N|f
10689|20695|22005|2020-05-08|2020-05-08|\N|f
10690|20695|22008|2020-05-08|2020-05-08|\N|f
10691|20695|22099|2020-05-08|2020-05-08|\N|f
10692|20695|20536|2020-05-08|2020-05-08|\N|f
10693|20695|20612|2020-05-08|2020-05-08|\N|f
10694|20695|21614|2020-05-08|2020-05-08|\N|f
10695|20695|22012|2020-05-08|2020-05-08|\N|f
10696|20695|22105|2020-05-08|2020-05-08|\N|f
10697|20695|22026|2020-05-08|2020-05-08|\N|f
10698|20695|22057|2020-05-08|2020-05-08|\N|f
